"Campus","StudyField","Branch","Role","EduLevel","ProgLang","Databases","Platform","WebFramework","Industry","AISearch","AITool","Employment"
"nelson mandela bay campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","python;sql","elasticsearch;influxdb;mongodb;postgresql;redis","digital ocean","fastapi","oil & gas","","adrenaline;synk code;whispr ai","employed, full-time"
"pretoria campus","computer science","i am learning to code","","some college/university study without earning a degree","html/css;java;javascript;lua;python","sqlite","vercel","jquery;node.js","oil & gas","","aws codewhisperer;replit ghostwriter","student, full-time"
"umhlanga campus","data science","i am a developer by profession","engineer, data","bachelor’s degree (b.a., b.s., b.eng., etc.)","java;scala;sql","bigquery;mariadb;mongodb;mysql;postgresql","amazon web services (aws);google cloud","","information services, it, software development, or other technology","","github copilot","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","javascript;python","postgresql","amazon web services (aws)","django;express;jquery;node.js;react;wordpress","advertising services","chatgpt","adrenaline;aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","independent contractor, freelancer, or self-employed"
"pretoria campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","javascript;typescript","mysql","amazon web services (aws)","angular;next.js;node.js","retail and consumer services","chatgpt","aws codewhisperer;codeium;github copilot","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","academic researcher","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;c++;html/css;javascript;matlab;r","microsoft sql server","","asp.net","advertising services","chatgpt","codeium;github copilot;tabnine","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;javascript;python;sql;typescript","cloud firestore;elasticsearch;mongodb;postgresql;redis","amazon web services (aws);cloudflare;digital ocean;heroku","express;nestjs;node.js","legal services","","aws codewhisperer;tabnine","independent contractor, freelancer, or self-employed"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","professional degree (jd, md, ph.d, ed.d, etc.)","html/css;javascript;python;ruby;sql","mongodb;postgresql;redis","amazon web services (aws);heroku","jquery;ruby on rails;vue.js","advertising services","","adrenaline;aws codewhisperer;codeium;mintlify;rubber duck.ai;synk code;tabnine","independent contractor, freelancer, or self-employed"
"pretoria campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);html/css;javascript;php;sql","mysql;postgresql","","jquery","insurance","chatgpt","aws codewhisperer;replit ghostwriter;tabnine","employed, full-time"
"nelson mandela bay campus","computer science","i code primarily as a hobby","","something else","java;javascript;kotlin;lua;php;python","sqlite","digital ocean","django;flask","manufacturing, transportation, or supply chain","chatgpt;wolframalpha","mintlify;synk code","i prefer not to say"
"midrand campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","html/css;java;javascript;sql","h2;mariadb","","node.js;spring boot","manufacturing, transportation, or supply chain","","adrenaline;aws codewhisperer;github copilot;replit ghostwriter;whispr ai","employed, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;dart;go;html/css;java;javascript;php;python;sql","cloud firestore;firebase realtime database;mariadb;microsoft sql server;mongodb;mysql;oracle;postgresql;redis;sqlite","firebase;google cloud;managed hosting","django;express;fastapi;fastify;flask;jquery;laravel;node.js;wordpress","advertising services","bing ai;chatgpt","adrenaline;github copilot;rubber duck.ai","employed, full-time;independent contractor, freelancer, or self-employed;employed, part-time"
"midrand campus","data science","i am a developer by profession","database administrator","master’s degree (m.a., m.s., m.eng., mba, etc.)","groovy;html/css;java;javascript;sql","","amazon web services (aws)","angular;jquery;wordpress","healthcare","chatgpt","aws codewhisperer;rubber duck.ai","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, embedded applications or devices","some college/university study without earning a degree","c;c#;rust","","","","higher education","","aws codewhisperer;replit ghostwriter","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c;html/css;java;javascript;php;sql;typescript","elasticsearch;mariadb;mongodb;mysql;redis","amazon web services (aws);cloudflare;microsoft azure;vmware","angular;jquery;node.js;react;wordpress","other","chatgpt","aws codewhisperer;synk code","employed, full-time;independent contractor, freelancer, or self-employed"
"pretoria campus","data science","i am a developer by profession","developer, desktop or enterprise applications","some college/university study without earning a degree","delphi;sql","firebird;microsoft sql server;sqlite","microsoft azure","","insurance","","aws codewhisperer;github copilot;tabnine;whispr ai","independent contractor, freelancer, or self-employed"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c#;html/css;javascript;powershell;python;sql","microsoft sql server","microsoft azure","asp.net core;blazor","advertising services","","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;python;typescript","firebase realtime database;mongodb","","angular;angularjs;node.js;vue.js","oil & gas","bing ai;chatgpt;google bard ai;wolframalpha;you.com","aws codewhisperer;codeium;github copilot;synk code;tabnine","employed, full-time"
"tyger valley campus","computer science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","dart;html/css;java;typescript","dynamodb;postgresql;supabase","amazon web services (aws);digital ocean;microsoft azure;vercel","react;remix","legal services","chatgpt","aws codewhisperer;synk code","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c;c#;c++;html/css;java;javascript;lua;php;powershell;r;sql;visual basic (.net)","mariadb;microsoft sql server;mongodb;mysql","google cloud;heroku;microsoft azure;netlify;vmware","asp.net;asp.net core;express;node.js;vue.js;wordpress","insurance","chatgpt","github copilot;mintlify","employed, full-time;independent contractor, freelancer, or self-employed;student, part-time"
"tyger valley campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","","some college/university study without earning a degree","apl;java;javascript;python;scala;sql","microsoft sql server","firebase;google cloud","flask;node.js;react;vue.js","financial services","bing ai;chatgpt;google bard ai;wolframalpha","codeium;github copilot;replit ghostwriter;tabnine","student, full-time"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","associate degree (a.a., a.s., etc.)","bash/shell (all shells);c#;go;html/css;java;javascript;powershell;python;sql;typescript","elasticsearch;microsoft sql server;postgresql;redis","","asp.net core;jquery;node.js;vue.js","higher education","chatgpt","codeium;replit ghostwriter","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","system administrator","bachelor’s degree (b.a., b.s., b.eng., etc.)","go;html/css;javascript;powershell;python;rust","bigquery;cloud firestore;cosmos db;elasticsearch;mariadb;mysql;postgresql;redis;sqlite","cloudflare;digital ocean;google cloud;microsoft azure","django;fastapi;flask;jquery","higher education","chatgpt","aws codewhisperer;codeium;replit ghostwriter;synk code;tabnine","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, back-end","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;java;javascript;kotlin;sql;typescript","firebase realtime database;h2;ibm db2;oracle;postgresql;redis","amazon web services (aws);digital ocean;firebase;heroku;oracle cloud infrastructure (oci)","express;node.js;react;spring boot","oil & gas","","aws codewhisperer;github copilot;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, desktop or enterprise applications","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;powershell;visual basic (.net)","mariadb;mongodb;mysql","netlify;vercel","asp.net core;nestjs;next.js;node.js;react","information services, it, software development, or other technology","","adrenaline;github copilot;rubber duck.ai;tabnine","employed, full-time"
"umhlanga campus","data science","i used to be a developer by profession, but no longer am","developer, game or graphics","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;c++;lua;python;rust;zig","","","","healthcare","","tabnine","independent contractor, freelancer, or self-employed"
"umhlanga campus","computer science","i am a developer by profession","senior executive (c-suite, vp, etc.)","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;go;groovy;html/css;java;javascript;php;powershell;sql;typescript","cockroachdb;cosmos db;elasticsearch;mariadb;mysql;oracle;postgresql;redis","digital ocean;microsoft azure","angular;angularjs;spring boot;vue.js;wordpress","insurance","bing ai;chatgpt","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i code primarily as a hobby","student","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);c;c#;c++;html/css;python","mysql","amazon web services (aws)","node.js;wordpress","retail and consumer services","chatgpt","github copilot;synk code;whispr ai","independent contractor, freelancer, or self-employed"
"pretoria campus","it","i am a developer by profession","","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;haskell;java;kotlin;python;sql","mysql;oracle;postgresql;sqlite","firebase","","advertising services","","codeium;github copilot;synk code","student, full-time"
"umhlanga campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","data or business analyst","master’s degree (m.a., m.s., m.eng., mba, etc.)","python;r;sql","bigquery;snowflake","","","wholesale","chatgpt;google bard ai","adrenaline;github copilot","employed, full-time"
"midrand campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","system administrator","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c#;go;java;python","mariadb;postgresql;sqlite","vmware","asp.net core;wordpress","wholesale","wolframalpha","codeium;replit ghostwriter","employed, part-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","some college/university study without earning a degree","c#;html/css;java;javascript;typescript","microsoft sql server","cloudflare","angular;asp.net;asp.net core;blazor;spring boot;vue.js","insurance","","aws codewhisperer;tabnine","independent contractor, freelancer, or self-employed"
"tyger valley campus","data science","i am a developer by profession","developer, qa or test","primary/elementary school","bash/shell (all shells);c;c++;delphi;go;groovy;html/css;java;javascript;lisp;perl;php;powershell;python;ruby;sql","influxdb;mariadb;mongodb;mysql;postgresql;sqlite","colocation;hetzner","angularjs;flask;react;wordpress","retail and consumer services","","aws codewhisperer;replit ghostwriter","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","c;c#;html/css;java;javascript;php;solidity;typescript","microsoft sql server;postgresql","amazon web services (aws);digital ocean;heroku;microsoft azure;netlify;vercel;vultr","asp.net core;express;next.js;node.js;react","higher education","","adrenaline;aws codewhisperer;github copilot","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","it","i am a developer by profession","developer, back-end","something else","java","mysql;solr","amazon web services (aws)","react;spring boot","wholesale","","adrenaline;codeium;github copilot","independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","data science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","dart;html/css;javascript;php;sql;typescript","mariadb;mongodb;mysql;postgresql;redis","amazon web services (aws);digital ocean;google cloud;netlify;vercel","express;node.js","other","chatgpt","mintlify","employed, full-time;independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","javascript","mysql","microsoft azure","express;node.js;react","manufacturing, transportation, or supply chain","chatgpt","aws codewhisperer;github copilot;synk code;tabnine;whispr ai","employed, part-time"
"pretoria campus","it","i am a developer by profession","engineering manager","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;dart;java;javascript;kotlin;ruby;sql;swift;typescript","influxdb;microsoft sql server;mongodb;postgresql;ravendb;redis;sqlite","amazon web services (aws);cloudflare;microsoft azure","asp.net core;blazor;nestjs;node.js;react","healthcare","bing ai;chatgpt;phind","aws codewhisperer;synk code","employed, full-time;independent contractor, freelancer, or self-employed"
"umhlanga campus","it","i am a developer by profession","developer, full-stack","associate degree (a.a., a.s., etc.)","c#;javascript;sql;visual basic (.net)","ibm db2;microsoft sql server","","asp.net core","oil & gas","","mintlify","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c#;c++;html/css;javascript;lua;powershell;python;sql;vba","microsoft sql server;sqlite","","node.js;react","information services, it, software development, or other technology","","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"midrand campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;powershell;sql;typescript","cosmos db;microsoft sql server","microsoft azure","angular;asp.net;asp.net core;node.js","information services, it, software development, or other technology","","github copilot;mintlify","employed, full-time"
"pretoria campus","data science","i am not primarily a developer, but i write code sometimes as part of my work/studies","project manager","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;powershell;python;sql;vba","microsoft sql server","digital ocean;microsoft azure","node.js","financial services","","mintlify","employed, full-time"
"tyger valley campus","it","i am a developer by profession","developer, mobile","bachelor’s degree (b.a., b.s., b.eng., etc.)","c;c++;dart;java;sql","microsoft sql server;mongodb;mysql;sqlite","firebase;google cloud;vmware","","wholesale","chatgpt","aws codewhisperer;codeium;github copilot;mintlify;tabnine;whispr ai","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, mobile","master’s degree (m.a., m.s., m.eng., mba, etc.)","objective-c","sqlite","","","manufacturing, transportation, or supply chain","","aws codewhisperer;github copilot;mintlify","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, mobile","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","matlab;swift","postgresql","digital ocean;google cloud;heroku;microsoft azure;vmware","","healthcare","wolframalpha","rubber duck.ai;synk code","employed, full-time;student, full-time"
"nelson mandela bay campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;html/css;javascript;typescript","dynamodb;postgresql","amazon web services (aws);digital ocean;google cloud","express;node.js;nuxt.js;react;vue.js","insurance","","github copilot;synk code;tabnine","employed, full-time"
"nelson mandela bay campus","it","i am a developer by profession","research & development role","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);powershell;python","mongodb;neo4j","","fastapi","higher education","","aws codewhisperer;github copilot;mintlify","employed, full-time;student, full-time"
"pretoria campus","data science","i am a developer by profession","developer, desktop or enterprise applications","master’s degree (m.a., m.s., m.eng., mba, etc.)","c#;f#;python;sql","microsoft sql server;mysql;postgresql","microsoft azure","","insurance","","adrenaline;codeium;github copilot;mintlify;replit ghostwriter;rubber duck.ai;synk code;tabnine;whispr ai","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","data scientist or machine learning specialist","professional degree (jd, md, ph.d, ed.d, etc.)","bash/shell (all shells);c#;html/css;matlab;python;r;sql","microsoft sql server;mysql;oracle;postgresql","amazon web services (aws);google cloud;microsoft azure;vmware","fastapi","advertising services","chatgpt","aws codewhisperer;codeium;github copilot;mintlify;replit ghostwriter;tabnine;whispr ai","employed, full-time"
"pretoria campus","computer science","i am a developer by profession","developer, back-end","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;c++;html/css;javascript;powershell;typescript","microsoft sql server;oracle;postgresql;sqlite","amazon web services (aws);microsoft azure","angular;asp.net;asp.net core","other","","github copilot;mintlify;replit ghostwriter","independent contractor, freelancer, or self-employed"
"tyger valley campus","it","i am not primarily a developer, but i write code sometimes as part of my work/studies","other (please specify):","master’s degree (m.a., m.s., m.eng., mba, etc.)","apl;assembly;bash/shell (all shells);c;c#;c++;cobol;delphi;fortran;go;java;javascript;julia;lisp;objective-c;perl;php;sql;swift","mariadb;mysql;oracle","amazon web services (aws)","","healthcare","","tabnine","independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, desktop or enterprise applications","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);go;javascript;python;typescript","","heroku;microsoft azure","django","higher education","","mintlify;synk code","employed, full-time"
"umhlanga campus","it","i am a developer by profession","engineering manager","bachelor’s degree (b.a., b.s., b.eng., etc.)","bash/shell (all shells);c#;typescript","cosmos db;microsoft sql server","microsoft azure","asp.net core;vue.js","other","bing ai;chatgpt","rubber duck.ai","employed, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);c;c#;c++;haskell;html/css;javascript;lua;matlab;perl;php;prolog;python;sql","microsoft access;microsoft sql server;mongodb;mysql;sqlite","","angular;django;flask;vue.js","higher education","wolframalpha","aws codewhisperer;github copilot;mintlify","employed, full-time;independent contractor, freelancer, or self-employed"
"midrand campus","computer science","i code primarily as a hobby","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","c;c#;html/css;javascript;lua;python;rust","","cloudflare;google cloud","jquery;next.js","higher education","","aws codewhisperer;whispr ai","student, full-time"
"midrand campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","html/css;javascript","firebase realtime database;mongodb","firebase;heroku;netlify;render;vercel","express;next.js;node.js;react","financial services","chatgpt","codeium;synk code;whispr ai","employed, part-time"
"nelson mandela bay campus","computer science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","assembly;bash/shell (all shells);c;c++;dart;html/css;java;javascript;kotlin;matlab;php;powershell;python;r;ruby;rust;scala;sql;typescript;visual basic (.net)","cosmos db;dynamodb;microsoft sql server;mongodb;mysql;postgresql;redis;sqlite","amazon web services (aws);cloudflare;digital ocean;firebase;google cloud;heroku;ibm cloud or watson;microsoft azure;netlify;render;vercel","deno;next.js;node.js;react;ruby on rails;vue.js","advertising services","bing ai;chatgpt","aws codewhisperer;codeium;tabnine;whispr ai","employed, full-time"
"tyger valley campus","data science","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);html/css;java;sql;typescript","elasticsearch;ibm db2;mariadb;microsoft sql server;postgresql;redis","amazon web services (aws);microsoft azure","angular","advertising services","","github copilot;replit ghostwriter;tabnine","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","c#;dart;html/css;javascript;python;sql;typescript","cloud firestore;dynamodb;microsoft sql server;mysql;sqlite","amazon web services (aws);cloudflare;firebase;netlify","angular;asp.net;asp.net core;jquery;node.js;react","manufacturing, transportation, or supply chain","chatgpt","github copilot;rubber duck.ai","employed, full-time"
"umhlanga campus","data science","i am a developer by profession","developer, full-stack","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","bash/shell (all shells);go;html/css;javascript;lua;perl;php;powershell;python;sql","influxdb;mariadb;mongodb;mysql;oracle;postgresql;redis;solr;sqlite","hetzner","angular;jquery;node.js;react;symfony","manufacturing, transportation, or supply chain","","rubber duck.ai;tabnine","employed, full-time"
"nelson mandela bay campus","computer science","i am a developer by profession","research & development role","master’s degree (m.a., m.s., m.eng., mba, etc.)","java;python","mongodb","","react","legal services","","aws codewhisperer;codeium;github copilot;tabnine;whispr ai","employed, full-time;independent contractor, freelancer, or self-employed"
"nelson mandela bay campus","data science","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","html/css;javascript;typescript","postgresql","","angular;express;node.js","information services, it, software development, or other technology","","aws codewhisperer;synk code","employed, full-time"
"umhlanga campus","computer science","i am learning to code","","secondary school (e.g. american high school, german realschule or gymnasium, etc.)","html/css;javascript;lua;typescript","","vultr","jquery;node.js;react;svelte","advertising services","","adrenaline;github copilot","student, full-time"
"pretoria campus","it","i am a developer by profession","developer, full-stack","bachelor’s degree (b.a., b.s., b.eng., etc.)","groovy;html/css;java;javascript;kotlin;sql;typescript","mysql","amazon web services (aws)","jquery;play framework;react","retail and consumer services","chatgpt","adrenaline;github copilot;synk code","employed, full-time"
"midrand campus","it","i am a developer by profession","developer, full-stack","master’s degree (m.a., m.s., m.eng., mba, etc.)","bash/shell (all shells);groovy;java;javascript;lua;sql","mysql;postgresql","","jquery;node.js","information services, it, software development, or other technology","","aws codewhisperer;github copilot;replit ghostwriter;rubber duck.ai","employed, full-time"
